method, of, sol, time
heu, -1, [1, 1, 1, 1, 1, 0, 1, 1, 0, 1], 9.870529174804688e-05
exact, -1, [1, 1, 1, 1, 1, 0, 1, 1, 0, 1], 9.870529174804688e-05
